index,gamma,rho_obs,z,mu_T,rho_N,residual,ratio,spacing
61,216.169538508263713,0.563119780959,1.5585106961,0.6277667430,0.353507870819,0.209611910139,1.5929483540,1.622493724772
62,219.067596349021386,0.565239301609,1.5643767582,0.6286763598,0.355352586533,0.209886715076,1.5906435552,2.898057840758
63,220.714918839314009,0.566431621605,1.5676766661,0.6291861727,0.356390944074,0.210040677531,1.5893546989,1.647322490293
64,221.430705554693333,0.566946931888,1.5691028575,0.6294060910,0.356839852228,0.210107079660,1.5887993685,0.715786715379
65,227.421444279679292,0.571195601757,1.5808616301,0.6312097316,0.360544222503,0.210651379254,1.5842594781,5.990738724986
66,229.337413305525359,0.572530825911,1.5845570448,0.6317730616,0.361709552745,0.210821273166,1.5828468493,1.915969025846
67,231.250188700499166,0.573852743427,1.5882156316,0.6323291419,0.362863812832,0.210988930595,1.5814548686,1.912775394974
68,231.987235253180245,0.574359199491,1.5896173178,0.6325417590,0.363306178323,0.211053021168,1.5809232921,0.737046552681
69,233.693404178908310,0.575525434074,1.5928450308,0.6330304576,0.364325128895,0.211200305180,1.5797028215,1.706168925728
70,236.524229665816193,0.577441760813,1.5981487261,0.6338307529,0.366000346036,0.211441414777,1.5777082373,2.830825486908
71,237.769820480925205,0.578277708011,1.6004623238,0.6341788052,0.366731465927,0.211546242083,1.5768423540,1.245590815109
72,239.555477573327636,0.579468499615,1.6037580018,0.6346734967,0.367773298880,0.211695200735,1.5756132960,1.785657092402
73,241.049157796216576,0.580457784107,1.6064959814,0.6350834939,0.368639157580,0.211818626527,1.5745961116,1.493680222889
74,242.823271934222589,0.581624869821,1.6097260501,0.6355660368,0.369661013407,0.211963856414,1.5734006258,1.774114138006
75,244.070898497078161,0.582440514703,1.6119834584,0.6359025417,0.370375403662,0.212065111041,1.5725680187,1.247626562856
76,247.136990074897511,0.584427412632,1.6174824690,0.6367197545,0.372116478672,0.212310933960,1.5705496696,3.066091577819
77,248.101990060148466,0.585047657477,1.6191990811,0.6369741361,0.372660226215,0.212387431262,1.5699224557,0.964999985251
78,249.573689644707201,0.585988948988,1.6218042336,0.6373595320,0.373485642278,0.212503306710,1.5689731616,1.471699584559
79,251.014947795016013,0.586905406037,1.6243406533,0.6377340008,0.374289532686,0.212615873351,1.5680518817,1.441258150309
80,253.069986747999479,0.588203089809,1.6279321699,0.6382629641,0.375428247615,0.212774842194,1.5667523516,2.055038952983
81,258.610439491531395,0.591649869713,1.6374716028,0.6396607226,0.378455183200,0.213194686513,1.5633287533,5.540452743532
82,259.874406989677993,0.592425850246,1.6396192346,0.6399739642,0.379137119896,0.213288730350,1.5625635665,1.263967498147
83,260.805084504596891,0.592994807108,1.6411939002,0.6402033020,0.379637233550,0.213357573557,1.5620038150,0.930677514919
84,263.573893904870147,0.594675552584,1.6458455922,0.6408791382,0.381115155660,0.213560396924,1.5603566107,2.768809400273
85,265.557851838876331,0.595869048133,1.6491487537,0.6413575607,0.382165119234,0.213703928899,1.5591926582,1.983957934006
86,266.614973781501078,0.596501348002,1.6508987297,0.6416105244,0.382721542713,0.213779805289,1.5585779253,1.057121942625
87,267.921915082824057,0.597279616396,1.6530526935,0.6419214125,0.383406574999,0.213873041396,1.5578230926,1.306941301323
88,269.970449023997617,0.598491888222,1.6564078209,0.6424046309,0.384473960577,0.214017927644,1.5566512939,2.048533941174
89,271.494055641644991,0.599387570810,1.6588867445,0.6427608461,0.385262862181,0.214124708629,1.5557886047,1.523606617647
90,273.459609188403306,0.600535664454,1.6620642500,0.6432164439,0.386274414520,0.214261249934,1.5546866214,1.965553546758
91,275.587492649343858,0.601769310404,1.6654785332,0.6437047410,0.387361758115,0.214407552289,1.5535072779,2.127883460941
92,276.452049503132912,0.602267820380,1.6668582275,0.6439016931,0.387801269220,0.214466551160,1.5530321022,0.864556853789
93,278.250743529841941,0.603299984098,1.6697148812,0.6443088135,0.388711496915,0.214588487183,1.5520507854,1.798694026709
94,279.229250927745170,0.603858692754,1.6712611835,0.6445288120,0.389204325832,0.214654366922,1.5515210204,0.978507397903
