# Name  Dist  Rad  Vobs  e_Vobs  Vgas  Vdisk  Vbulge  SBdisk  SBbulge
Z000090      1.965554   0.0301   0.60053566   0.000000   0.38627441   0.21426125   0.000000   0.64321644   1.66206425
Z000091      2.127883   0.0304   0.60176931   0.000000   0.38736176   0.21440755   0.000000   0.64370474   1.66547853
Z000092      0.864557   0.0307   0.60226782   0.000000   0.38780127   0.21446655   0.000000   0.64390169   1.66685823
Z000093      1.798694   0.0311   0.60329998   0.000000   0.38871150   0.21458849   0.000000   0.64430881   1.66971488
Z000094      0.978507   0.0314   0.60385869   0.000000   0.38920433   0.21465437   0.000000   0.64452881   1.67126118
Z000095      3.235864   0.0317   0.60569246   0.000000   0.39082248   0.21486998   0.000000   0.64524904   1.67633639
Z000096      0.746071   0.0321   0.60611228   0.000000   0.39119307   0.21491922   0.000000   0.64541353   1.67749830
Z000097      1.624778   0.0324   0.60702274   0.000000   0.39199693   0.21502582   0.000000   0.64576975   1.68001812
Z000098      1.831481   0.0328   0.60804283   0.000000   0.39289784   0.21514498   0.000000   0.64616804   1.68284134
Z000099      1.244475   0.0331   0.60873225   0.000000   0.39350689   0.21522536   0.000000   0.64643674   1.68474942
Z000100      1.667934   0.0334   0.60965161   0.000000   0.39431927   0.21533234   0.000000   0.64679443   1.68729387
Z000101      2.266436   0.0338   0.61089241   0.000000   0.39541605   0.21547636   0.000000   0.64727609   1.69072795
Z000102      1.712143   0.0341   0.61182338   0.000000   0.39623923   0.21558414   0.000000   0.64763664   1.69330453
Z000103      4.420843   0.0344   0.61420230   0.000000   0.39834381   0.21585849   0.000000   0.64855473   1.69988853
Z000104      1.861049   0.0348   0.61519322   0.000000   0.39922090   0.21597232   0.000000   0.64893579   1.70263104
Z000105      1.808999   0.0351   0.61615055   0.000000   0.40006851   0.21608204   0.000000   0.64930318   1.70528058
Z000106      1.047424   0.0355   0.61670223   0.000000   0.40055707   0.21614516   0.000000   0.64951455   1.70680743
Z000107      4.522747   0.0358   0.61906266   0.000000   0.40264836   0.21641430   0.000000   0.65041617   1.71334023
Z000108      2.889967   0.0361   0.62055281   0.000000   0.40396936   0.21658344   0.000000   0.65098306   1.71746442
Z000109      1.055678   0.0365   0.62109368   0.000000   0.40444899   0.21664469   0.000000   0.65118838   1.71896137
Z000110      1.262660   0.0368   0.62173820   0.000000   0.40502062   0.21671758   0.000000   0.65143275   1.72074516
Z000111      1.557485   0.0371   0.62252964   0.000000   0.40572271   0.21680693   0.000000   0.65173236   1.72293556
Z000112      1.490330   0.0375   0.62328328   0.000000   0.40639142   0.21689186   0.000000   0.65201720   1.72502137
Z000113      7.991353   0.0378   0.62726464   0.000000   0.40992655   0.21733809   0.000000   0.65351452   1.73604032
Z000114      1.395896   0.0382   0.62794998   0.000000   0.41053549   0.21741448   0.000000   0.65377101   1.73793710
Z000115      2.581035   0.0385   0.62920947   0.000000   0.41165490   0.21755457   0.000000   0.65424142   1.74142291
Z000116      1.589170   0.0388   0.62998002   0.000000   0.41233995   0.21764007   0.000000   0.65452861   1.74355551
Z000117      0.920168   0.0392   0.63042449   0.000000   0.41273516   0.21768933   0.000000   0.65469405   1.74478564
Z000118      1.521228   0.0395   0.63115658   0.000000   0.41338624   0.21777034   0.000000   0.65496622   1.74681179
Z000119      5.367383   0.0399   0.63371304   0.000000   0.41566088   0.21805216   0.000000   0.65591340   1.75388716
Z000120      1.498142   0.0402   0.63441933   0.000000   0.41628960   0.21812973   0.000000   0.65617420   1.75584191
Z000121      1.518224   0.0405   0.63513191   0.000000   0.41692404   0.21820787   0.000000   0.65643693   1.75781406
Z000122      1.184044   0.0409   0.63568543   0.000000   0.41741696   0.21826847   0.000000   0.65664075   1.75934601
